accuracy,auc,dp_age,eo_age,dp_sex,eo_sex,fold,model
0.785,0.7891666666666667,0.041471330688784724,0.0477564943584361,0.09273182957393478,0.09445921079533837,1,Logistic Regression
0.735,0.7483333333333334,0.08946219997432936,0.12962414915655518,0.03473125813231903,0.019607843137254832,2,Logistic Regression
0.735,0.7780952380952381,0.0066041014946124355,0.079059829059829,0.033333333333333326,0.07142857142857151,3,Logistic Regression
0.78,0.8041666666666666,0.10846189808321649,0.08187134502923976,0.1166666666666667,0.09006017846026138,4,Logistic Regression
0.78,0.7953571428571429,0.005263850506645684,0.04999999999999993,0.029424127784783538,0.013986013986014068,5,Logistic Regression
0.765,0.814047619047619,0.017670393076090862,0.06035161374967202,0.0736842105263158,0.05111429155591907,1,Random Forest
0.745,0.7572619047619046,0.11667308432807089,0.11571470849363719,0.015914322890601573,0.006535947712418277,2,Random Forest
0.75,0.7723809523809524,0.016452323021666104,0.07799145299145294,0.012500000000000067,0.05357142857142849,3,Random Forest
0.775,0.8280952380952382,0.08438522674146798,0.08421052631578951,0.033333333333333326,0.01494085909939813,4,Random Forest
0.76,0.7842857142857144,0.05737597052243726,0.08499999999999996,0.021857923497267784,0.01660839160839156,5,Random Forest
0.76,0.7788095238095238,0.00048082702247864706,0.028339018630280766,0.002005012531328343,0.018810059292578285,1,XGBoost
0.76,0.7451190476190476,0.13554100885637277,0.08345664397750818,0.005605044540086035,0.007352941176470562,2,XGBoost
0.76,0.7659523809523809,0.037075657513613636,0.09722222222222221,0.02083333333333337,0.07738095238095233,3,XGBoost
0.8,0.8114285714285714,0.10846189808321649,0.0935672514619883,0.09583333333333333,0.06474372276405893,4,XGBoost
0.81,0.8198809523809525,0.032635873141202754,0.05999999999999994,0.02690205968894488,0.005244755244755206,5,XGBoost
